movie_id,id,name
862,7879,John Lasseter
8844,4945,Joe Johnston
15602,26502,Howard Deutch
31357,2178,Forest Whitaker
11862,56106,Charles Shyer
949,638,Michael Mann
11860,2226,Sydney Pollack
45325,18357,Peter Hewitt
9091,37710,Peter Hyams
710,10702,Martin Campbell
9087,3026,Rob Reiner
12110,14639,Mel Brooks
21032,21879,Simon Wells
10858,1152,Oliver Stone
1408,16938,Renny Harlin
524,1032,Martin Scorsese
4584,1614,Ang Lee
5,3110,Allison Anders
5,3111,Alexandre Rockwell
5,2294,Robert Rodriguez
5,138,Quentin Tarantino
9273,4489,Steve Oedekerk
11517,52629,Joseph Ruben
8012,5174,Barry Sonnenfeld
1710,15148,Jon Amiel
9691,7187,Richard Donner
12665,56349,Victor Salva
451,6111,Mike Figgis
16420,56710,Oliver Parker
9263,15798,Lesli Linka Glatter
17015,7017,Roger Michell
902,2419,Jean-Pierre Jeunet
902,13680,Marc Caro
37557,607,Zhang Yimou
9909,60295,John N. Smith
63,280,Terry Gilliam
78802,2352,Jean-Jacques Annaud
9598,58137,Chris Noonan
47018,12952,Christopher Hampton
687,504,Tim Robbins
139405,77867,Stephen Low
33689,17167,Andy Tennant
9603,57434,Amy Heckerling
34615,16730,Darrell James Roodt
31174,33315,Richard Loncraine
11443,11447,Albert Hughes
11443,11448,Allen Hughes
35196,52405,Michael Hoffman
9312,4014,Paul W.S. Anderson
577,5216,Gus Van Sant
11861,3047,Jocelyn Moorhouse
807,7467,David Fincher
10530,65530,Mike Gabriel
10530,65531,Eric Goldberg
8391,55439,Patricia Rozema
629,9032,Bryan Singer
117164,100505,Richard W. Munchkin
11448,1243,Woody Allen
49133,128107,Gianni Amelio
26441,71338,Holly Goldberg Sloan
97406,140354,Ulu Grosbard
124057,30586,Robert Tinnell
9089,1038,Jodie Foster
11010,28898,Michael Radford
99040,38527,Robert Lepage
11359,7908,Frank Oz
17182,19304,John Schlesinger
2054,18356,Stephen Herek
10607,45649,Paris Barclay
19760,49361,Bill Bennett
9536,57870,Jason Bloom
11525,69721,Farhad Mann
40628,15890,James Foley
4482,35137,Josiane Balasko
10634,37932,F. Gary Gray
755,2294,Robert Rodriguez
11859,70850,Andrew Sipes
28387,5656,Noah Baumbach
48750,16862,Claude Lelouch
20927,10296,Michael Goldenberg
36929,58712,Steve Miner
9102,25735,Christian Duguay
124626,1080309,Susanne Ofteringer
27526,2228,Sean Penn
9623,18069,Brian Gibson
46785,120229,Jafar Panahi
400,5501,Gary Fleder
880,13496,Marleen Gorris
146599,27771,Tim Reid
188588,117075,Henry Jaglom
8447,55038,Philip Haas
10534,578,Ridley Scott
17414,29009,Ken Kwapis
13997,58448,Penelope Spheeris
2086,12840,John Badham
61548,72624,John Duigan
9095,3224,Stephen Frears
12158,5140,Wes Craven
9283,34849,Ted Demme
9208,11401,John Woo
40154,11181,Kenneth Branagh
406,2406,Mathieu Kassovitz
45549,4014,Paul W.S. Anderson
63076,92561,Nick Broomfield
11062,23213,Harold Becker
13685,5655,Wes Anderson
47475,14692,Nick Castle
2045,21053,John Dahl
9614,17494,Dennis Dugan
688,190,Clint Eastwood
11907,18969,Doris Dörrie
10874,65298,Brian Henson
89333,64077,Robert Leacock
96357,1234226,James Bruce
197,2461,Mel Gibson
103,1032,Martin Scorsese
33542,44916,Stanley Tong
43566,23393,Barbet Schroeder
71754,184475,Mort Ransen
43612,20849,Étienne Chatiliez
51352,82293,Jon Blair
16934,81020,Benjamin Ross
10324,68185,Eric Schaeffer
78406,12989,Andrew Davis
55731,36147,Charles T. Kanganis
32119,60295,John N. Smith
11066,68215,Reginald Hudlin
11104,12453,Wong Kar-wai
37975,65314,Giuseppe Tornatore
2074,17883,David O. Russell
27793,16589,Peter MacDonald
44284,239321,Moufida Tlatli
290157,93632,Michel Negroponte
110972,122583,Bryan Gordon
32622,41670,Rebecca Miller
73067,125543,Michael Lindsay-Hogg
11863,15175,William Friedkin
55475,114997,Ángel Muñiz
124636,84445,Craig Baldwin
9101,12920,David S. Ward
123360,1077999,Mark Rappaport
5757,45382,Dirk Shafer
39428,93911,Terence Davies
124639,1080311,Sandip Ray
9302,18250,Jon Avnet
11000,5342,Mike Nichols
249882,1285121,Jakov Sedlar
16388,12833,Edward Burns
9737,865,Michael Bay
30765,56828,Christopher Cain
10474,65390,Scott Kalvert
22279,10723,Mike Newell
30157,91343,Hal Hartley
568,6159,Ron Howard
11780,30365,Michael Caton-Jones
34996,39104,Abel Ferrara
414,5572,Joel Schumacher
649,793,Luis Buñuel
1873,19665,John Boorman
5894,46391,Paul Auster
5894,39819,Wayne Wang
1775,17087,Michael Moore
8839,11887,Brad Silberling
20649,5281,Spike Lee
10329,664,Frank Marshall
8963,893,Tony Scott
26564,17447,Terry Zwigoff
8068,2294,Robert Rodriguez
8512,21712,Carl Franklin
1572,1090,John McTiernan
13552,19224,Gregg Araki
259209,68774,Christopher Menaul
6520,3415,Jerry Zucker
9073,56998,Dwight H. Little
10428,1978,Iain Softley
17447,252806,Christopher Ashley
9886,59997,Robert Longo
9482,33279,Danny Cannon
19326,58316,John Fortenberry
9344,51917,Larry Clark
9071,6400,Tom DiCillo
8973,31211,Clive Barker
15730,38516,Denys Arcand
47608,42617,Antonia Bird
2293,19303,Kevin Smith
9070,42111,Bryan Spicer
68274,44847,David Anspaugh
48787,58384,Anthony Waller
34574,54469,Michael Almereyda
1642,11472,Irwin Winkler
11472,10965,Chris Columbus
36196,56714,Daisy von Scherler Mayer
11980,28902,Gregory Widen
58372,26487,Norman René
32646,16863,Todd Haynes
10533,8965,Roland Joffé
10802,10491,Paul Verhoeven
10149,39819,Wayne Wang
10149,46391,Paul Auster
18402,5306,Lasse Hallström
9348,21370,Roger Donaldson
139408,408,James Keach
281,14392,Kathryn Bigelow
5967,24882,Jacques Demy
79593,17880,Wesley Strick
47939,63713,Martha Coolidge
36834,1128,Agnieszka Holland
9090,20237,Beeban Kidron
3512,32277,Geoff Murphy
52856,3092,Diane Keaton
77350,588623,Douglas Keeve
9560,22767,Alfonso Aráu
9804,8300,Kevin Reynolds
31611,73494,Desmond Nakano
65796,1723,Walter Hill
49805,6111,Mike Figgis
26258,17309,Greg Beeman
50797,82796,Nikita Mikhalkov
19155,1364800,Milčo Mančevski
76,564,Richard Linklater
11017,57691,Tamra Davis
37141,43468,Guy Ferland
9382,18378,Herbert Ross
6715,44990,Peter Horton
18256,27991,Stuart Gordon
22625,19969,Pat O'Connor
2292,19303,Kevin Smith
1909,25210,Jeremy Leven
8984,8246,Barry Levinson
61813,225065,René Bonnière
4954,12840,John Badham
62488,58154,Jack Baran
10531,3556,Roman Polanski
11929,18596,Taylor Hackford
8467,7396,Peter Farrelly
8467,7395,Bobby Farrelly
10451,1614,Ang Lee
20156,56205,Atom Egoyan
18395,1201,Garry Marshall
522,510,Tim Burton
397,8844,Lawrence Kasdan
10525,7904,Billy Crystal
27985,148119,Phillip Borsos
15789,15775,Kevin Lima
15789,56147,Paul Brizzi
27303,57090,Brett Leonard
21183,87695,Carlo Carlei
10954,67794,Gérard Corbiau
47867,1566166,Mark Lewis
43475,129534,Art Clokey
72031,97755,Charles Burnett
14275,122449,Steve James
1024,108,Peter Jackson
17207,77121,Randall Miller
13701,57851,Bernard Rose
14819,32593,Steven Brill
32631,1203,J. F. Lawton
11777,64061,Fred Schepisi
628,17016,Neil Jordan
87729,54441,James Ivory
18713,73668,James Melkonian
6280,8858,Ivan Reitman
9061,56872,Arne Glimcher
37108,62043,Michael Gottlieb
6071,23393,Barbet Schroeder
11,1,George Lucas
9587,58094,Gillian Armstrong
19101,11218,Alfonso Cuarón
49980,15488,Ken Loach
17961,19069,Claude Chabrol
18183,22767,Alfonso Aráu
4476,9181,Edward Zwick
11008,14692,Nick Castle
47504,20561,James Gray
32325,3110,Allison Anders
43742,58463,Glenn Gordon Caron
28313,15912,Stephen Gyllenhaal
11318,55476,Nicholas Hytner
3036,11181,Kenneth Branagh
40490,27444,James Orr
24070,9248,Nora Ephron
8986,24318,Richard Benjamin
10510,56911,Les Mayfield
17402,5065,David Frankel
38722,16395,Gregory Nava
8438,54971,Marc Rocco
11593,6729,Robert Benton
1945,10781,Michael Apted
39310,17278,Nick Gomez
109560,129957,Tōru Murakawa
56428,70905,Vadim Jean
63105,63937,Albert Pyun
131957,131792,Alan Jacobs
241,1152,Oliver Stone
9058,13563,Norman Jewison
527,7256,Lee Tamahori
18220,2873,Anne Goursaud
6950,5231,Wolfgang Petersen
101,59,Luc Besson
63020,6495,Mira Nair
2307,23757,Joshua Brand
680,138,Quentin Tarantino
41478,16214,Mario Van Peebles
25296,1614,Ang Lee
40156,42617,Antonia Bird
11450,4135,Robert Redford
